"No.","Time","Source","Destination","Protocol","Length","Info"
"128","53.440000","00:03:00:03:00:03:00:03","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: Barracud_03:00:03:00:03"
"129","53.450000","00:04:00:04:00:04:00:04","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: LexmarkP_04:00:04:00:04"
"130","54.470000","fe80::207:7:7:7","fe80::203:3:3:3","ICMPv6","102","RPL Control (DODAG Information Object)"
"131","54.474296","","00:07:00:07:00:07:00:07","IEEE 802.15.4","19","Ack, Dst: Zettamed_07:00:07:00:07"
"132","54.690000","fe80::20c:c:c:c","fe80::208:8:8:8","ICMPv6","102","RPL Control (DODAG Information Object)"
"133","54.694296","","00:0c:00:0c:00:0c:00:0c","IEEE 802.15.4","19","Ack, Dst: BebIndus_0c:00:0c:00:0c"
"134","55.170000","fe80::209:9:9:9","fe80::205:5:5:5","ICMPv6","102","RPL Control (DODAG Information Object)"
"135","55.174296","","00:09:00:09:00:09:00:09","IEEE 802.15.4","19","Ack, Dst: Tmt_09:00:09:00:09"
"136","55.200000","fe80::20d:d:d:d","fe80::208:8:8:8","ICMPv6","102","RPL Control (DODAG Information Object)"
"137","55.204296","","00:0d:00:0d:00:0d:00:0d","IEEE 802.15.4","19","Ack, Dst: SeawayNe_0d:00:0d:00:0d"
"138","55.540000","fe80::20c:c:c:c","fe80::208:8:8:8","ICMPv6","102","RPL Control (DODAG Information Object)"
"139","55.544296","","00:0c:00:0c:00:0c:00:0c","IEEE 802.15.4","19","Ack, Dst: BebIndus_0c:00:0c:00:0c"
"140","56.190000","fe80::209:9:9:9","fe80::205:5:5:5","ICMPv6","102","RPL Control (DODAG Information Object)"
"141","56.194296","","00:09:00:09:00:09:00:09","IEEE 802.15.4","19","Ack, Dst: Tmt_09:00:09:00:09"
"142","56.420000","fe80::204:4:4:4","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"143","56.510000","fe80::207:7:7:7","fe80::203:3:3:3","ICMPv6","102","RPL Control (DODAG Information Object)"
"144","56.514296","","00:07:00:07:00:07:00:07","IEEE 802.15.4","19","Ack, Dst: Zettamed_07:00:07:00:07"
"145","57.390000","00:01:00:01:00:01:00:01","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: EquipTra_01:00:01:00:01"
"146","57.890000","fe80::209:9:9:9","fe80::205:5:5:5","ICMPv6","102","RPL Control (DODAG Information Object)"
"147","57.894296","","00:09:00:09:00:09:00:09","IEEE 802.15.4","19","Ack, Dst: Tmt_09:00:09:00:09"
"148","58.230000","fe80::209:9:9:9","fe80::205:5:5:5","ICMPv6","102","RPL Control (DODAG Information Object)"
"149","58.234296","","00:09:00:09:00:09:00:09","IEEE 802.15.4","19","Ack, Dst: Tmt_09:00:09:00:09"
"150","58.380000","fe80::207:7:7:7","fe80::203:3:3:3","ICMPv6","102","RPL Control (DODAG Information Object)"
"151","58.384296","","00:07:00:07:00:07:00:07","IEEE 802.15.4","19","Ack, Dst: Zettamed_07:00:07:00:07"
"152","58.590000","fe80::202:2:2:2","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"153","58.770000","::20c:c:c:c","::201:1:1:1","ICMPv6","93","RPL Control (Destination Advertisement Object)"
"154","58.774008","","00:0c:00:0c:00:0c:00:0c","IEEE 802.15.4","19","Ack, Dst: BebIndus_0c:00:0c:00:0c"
"155","58.900000","::20c:c:c:c","::201:1:1:1","ICMPv6","102","RPL Control (Destination Advertisement Object)"
